THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,OMEGA11,OMEGA21,OMEGA22,OMEGA31,OMEGA32,OMEGA33,OMEGA41,OMEGA42,OMEGA43,OMEGA44,SIGMA11
15.78,8.518,20.07,10.55,-1.25,0.5328,0.03013,0.6135,-0.4396,0.119,0.002146,0.09741,-0.005988,-0.002375,0.1086,-0.002734,0.002892,-0.001921,0.08002,0
14.63,12.07,20.03,14.18,-0.4485,0.871,0.04147,0.4242,0.72,0.05914,-0.009685,0.1071,0.000472,-0.01128,0.09197,-0.000243,-0.003993,-0.001103,0.07222,0
14.28,10.68,19.71,13.02,-0.9888,0.09965,0.01809,0.3058,0.567,0.07704,0.004266,0.1008,-0.009296,0.007722,0.1094,0.01701,0.0146,0.001733,0.0795,0
14.58,13.02,19.31,13.83,-0.06327,0.8119,0.04855,0.4349,0.9329,0.09648,-0.02202,0.1542,-0.007649,0.00148,0.1318,0.007777,-0.01318,0.01844,0.07367,0
15.13,11.04,17.39,12.55,-0.6567,1.678,0.04325,0.5172,0.3127,0.09531,0.009821,0.08782,-0.001636,-0.002789,0.09914,0.004218,-0.000378,-0.006194,0.07822,0
13.85,9.54,19.36,11.92,-0.3793,0.601,0.04314,0.1024,0.7329,0.0741,0.00585,0.1016,0.005988,-0.03011,0.1298,-0.002209,-0.008806,0.00657,0.08062,0
13.46,10.61,18.96,12.86,-0.493,0.4774,0.07402,0.5533,0.7298,0.08428,-0.00442,0.1396,0.007136,-0.00108,0.09878,-0.007706,-0.005831,0.004947,0.06421,0
15.05,10.17,18.33,12.11,-0.2637,1.829,0.05876,0.1037,0.6185,0.08104,-0.003624,0.07313,0.00138,-0.006421,0.09485,0.003898,-0.0117,0.01221,0.07192,0
14.57,12.12,20.48,12.89,-0.009843,1.057,0.005782,1.042,0.491,0.1022,0.01321,0.103,-0.002127,-0.006265,0.09359,-0.01024,-0.003004,-0.003851,0.06854,0
15.59,9.254,16.9,13.87,-0.8073,0.8455,0.01977,0.1889,0.6844,0.08087,0.008998,0.09875,-0.01904,-0.003725,0.0941,-0.01903,0.02762,0.009038,0.1073,0
15.74,11.27,20.03,12.75,-0.1692,0.7147,0.01511,-0.2811,0.1153,0.1146,0.002907,0.1207,-0.007157,0.00281,0.09439,0.03131,0.005575,0.00064,0.07135,0
14.59,10.21,18.11,12.61,-0.01126,1.208,0.08062,-0.2061,0.5192,0.09513,0.01711,0.107,0.01694,0.01299,0.1049,-0.001521,-0.006086,-0.01967,0.06114,0
12.57,10.38,20.33,11.59,-0.4854,0.3265,0.001624,0.8228,0.8086,0.08963,-0.01391,0.07818,-0.01725,-0.02097,0.1286,0.001184,0.003908,0.002787,0.07518,0
14.64,11.57,21.91,14.67,0.239,0.6242,0.07327,-0.559,0.5646,0.0883,0.002621,0.1422,0.01646,0.01213,0.1109,0.002331,0.01621,0.01414,0.06911,0
15.07,10.38,14.81,11.73,-0.02681,1.017,0.01007,0.3964,0.2639,0.1187,0.005285,0.0862,0.003416,0.01848,0.1029,-0.01192,-0.003531,-0.00754,0.07261,0
14.13,9.626,19.47,13.54,-0.1809,1.073,0.05132,0.5405,0.7084,0.1001,0.005671,0.1316,-0.006414,-0.02533,0.1044,-0.009268,-0.009799,-0.005037,0.068,0
15.79,10.89,16.22,11.14,-0.3938,0.2553,0.03295,0.1288,0.6935,0.1133,0.002989,0.118,0.003345,0.01427,0.1211,0.001927,-0.01867,0.005883,0.05743,0
16.08,9.853,17.95,12.44,-0.1598,1.132,0.01013,0.5693,1.323,0.1029,0.000616,0.1234,0.004398,0.01927,0.1016,-0.02034,-0.00393,0.009546,0.06288,0
13.7,8.073,19.5,13.94,-0.5173,0.9066,0.02156,-0.01532,0.7188,0.1058,-0.001858,0.09899,-0.007696,0.0348,0.1112,0.01923,0.009928,-0.002407,0.08116,0
12.35,9.643,21.93,14.33,-0.4727,0.7542,0.05034,-0.2735,0.7074,0.09549,0.02592,0.1001,0.02422,0.007753,0.094,-0.0106,-0.01339,0.003171,0.073,0
15.24,9.028,18.7,12.85,-0.1495,0.7395,0.05662,0.4809,1.161,0.09114,-0.002088,0.1307,-0.006583,-0.03083,0.1094,-0.006146,0.01745,0.00616,0.08622,0
15.86,8.334,18.5,13.5,-0.301,0.3827,0.04649,-0.2804,0.6515,0.1031,-0.02452,0.1084,-0.001826,-0.000789,0.07484,0.02209,-0.01796,0.01051,0.09849,0
12.18,11.34,18.68,11.55,-0.8282,1.179,0.03219,-0.2941,1.338,0.09729,0.009037,0.1065,-0.01106,0.01453,0.0992,-0.009625,-0.004643,0.005657,0.08351,0
15.12,11.28,21.28,13.66,-0.2255,1.436,0.03428,-0.1879,0.1101,0.08981,0.008503,0.116,0.006853,-0.01224,0.1061,0.00412,-0.01266,-0.005304,0.06485,0
13.67,9.494,17.22,13.09,-0.3172,0.5645,0.05302,0.2698,0.6987,0.09134,-0.006308,0.144,-0.01115,0.03066,0.1277,-0.002559,0.004841,0.003058,0.07611,0
14.66,13.81,16.95,13.28,-0.1731,1.316,0.02497,0.2967,1.035,0.08703,-0.01137,0.1138,0.01433,0.002037,0.09489,-0.00511,0.01823,0.00946,0.08724,0
15.32,9.094,17.52,12.79,0.0538,1.725,0.04863,0.347,0.4233,0.1097,-0.001935,0.08963,0.001442,0.001725,0.1026,-0.002156,-3.3e-05,0.007645,0.07995,0
14.05,10.47,18.46,13.92,-0.01159,0.8359,0.0935,-0.135,0.6808,0.08141,0.009357,0.08679,0.0108,0.0103,0.07655,0.005564,-0.000775,0.001616,0.0763,0
14.53,10.19,19.15,11.87,-0.1733,0.8075,-0.01579,-0.6671,0.9474,0.07228,-0.000664,0.1245,-0.01947,-0.01457,0.09952,-0.02224,-0.01193,0.01189,0.09841,0
13.06,12.4,19.39,14.21,0.1263,1.847,0.07266,0.7265,1.184,0.0896,-0.000471,0.1012,0.006967,-0.009972,0.0994,-0.01685,-0.00895,-0.008524,0.06879,0
13.77,10.38,17.53,13.42,-0.7004,1.193,0.0205,0.2326,0.5978,0.0884,0.0068,0.1221,-0.01559,-0.01914,0.1388,0.01287,0.000956,-0.01191,0.09998,0
14.79,13.55,19.24,14.03,-0.4059,0.6467,0.05328,0.6922,0.2856,0.09851,0.01284,0.1116,0.002205,0.01891,0.1694,0.001097,0.004072,-0.01511,0.06348,0
13.68,11.23,19.07,10.1,-0.3604,0.9283,0.01782,0.5054,0.6766,0.08111,-0.007829,0.09749,0.009718,0.001972,0.09359,0.003913,0.02027,0.01755,0.08415,0
15.02,9.129,18.22,14.38,-0.5243,0.6348,0.02196,0.2567,1.174,0.07298,-0.003585,0.1095,-0.003428,0.03094,0.1522,0.005444,0.004733,0.02915,0.07104,0
15.04,11.26,21.99,14.06,-0.5416,0.6614,0.04019,0.008506,0.3971,0.09886,0.01724,0.08737,0.007087,-0.008215,0.08906,-0.01971,0.01125,-0.01053,0.1102,0
15.34,8.916,20.43,12.36,-0.09066,1.538,0.0114,0.4205,0.8525,0.1057,0.002944,0.1245,0.02044,0.02005,0.09249,0.003181,-0.01301,-0.006443,0.082,0
13.09,10.59,17.2,13.43,-0.3416,0.9912,0.03133,-0.4085,0.9998,0.1039,0.005754,0.1021,0.003958,0.002834,0.1078,0.00214,0.00565,0.00069,0.07139,0
14.95,9.972,21.04,12.62,-0.9833,1.715,0.05407,-0.134,0.6655,0.07041,0.009039,0.09365,0.007541,0.008106,0.09114,-0.01204,-0.006288,-0.02932,0.1019,0
15.96,10.91,19.15,11.97,-0.1047,1.58,0.02934,0.1602,0.9947,0.1107,-0.01235,0.07778,0.01017,0.01286,0.119,-0.02134,0.01912,0.007354,0.08965,0
15.91,10.49,17.41,13.86,-0.3037,3.04,0.03825,0.2474,0.0837,0.0989,0.003059,0.08785,-0.002204,0.01024,0.1127,0.01535,0.007456,-0.01389,0.07898,0
12.34,11.2,21.12,10.04,-0.7452,0.7813,0.03573,0.2596,0.6306,0.09849,0.005354,0.1062,0.00403,0.005839,0.0992,0.002298,-0.003056,0.002938,0.06967,0
14.82,10.14,18.13,10.91,-1.268,0.9476,0.01429,-0.4488,0.8771,0.1141,-0.01558,0.0831,0.01749,0.002923,0.1275,-0.008182,-0.0101,-0.01188,0.08085,0
14.25,10.21,17.27,12.07,-0.7434,1.161,-0.01612,0.3487,0.7443,0.1074,0.011,0.09517,0.01162,0.004731,0.08957,0.002753,6.4e-05,0.006716,0.07241,0
13.97,11.38,17.9,11.26,-0.07151,0.9136,0.05874,-0.08009,0.1739,0.1195,-0.0163,0.113,-0.01264,-0.001485,0.1258,0.01075,-0.003616,0.00955,0.06175,0
14.57,12.45,18.68,10.46,-0.5051,1.825,0.04921,0.7823,0.7229,0.1071,-0.01461,0.09066,0.003605,-0.01762,0.1057,0.003681,0.01202,-0.02486,0.07331,0
14.39,8.825,22.13,13.92,-0.4062,1.444,0.08243,-0.04415,1.034,0.09802,-0.009854,0.09988,-0.01552,-0.01349,0.1192,0.008584,0.01578,-0.01309,0.07946,0
12.62,10.94,15.62,12.91,-0.6195,1.188,-0.008962,-0.2906,1.386,0.09182,-0.01715,0.1078,0.009646,0.004148,0.08453,0.003564,0.007341,0.0076,0.06883,0
14.13,8.744,18.17,12.26,-0.8579,0.6289,0.09403,-0.3299,0.7229,0.08122,-0.009538,0.1258,0.02594,-0.02471,0.1068,-0.004841,-0.01154,-0.00096,0.07654,0
14.16,9.596,21.87,11.62,-0.8916,0.2566,0.01894,-0.05855,0.4701,0.07163,0.0168,0.09168,-0.004352,-0.01471,0.1169,-0.003546,-0.01352,0.01124,0.08879,0
15.91,10.46,20.93,13.98,-1.492,0.9462,0.06153,-0.1945,0.9529,0.09619,-0.01677,0.1329,0.02802,-0.02273,0.09635,0.005511,0.001306,0.002823,0.08113,0
14.88,10.38,18.27,14.06,0.005387,0.8592,0.0391,0.3047,1.474,0.08529,-0.003631,0.102,0.01324,-0.01301,0.09279,0.003585,0.01139,0.006322,0.0489,0
15.43,11.96,16.77,14.56,-0.8669,0.4004,0.04064,0.3688,0.7006,0.1052,-0.002771,0.09882,-0.0143,0.003712,0.1065,-0.004733,0.002512,-0.02235,0.06951,0
14.55,11.45,19.45,14.93,-0.6484,1.94,-0.000504,-0.2143,0.8713,0.1242,-9.8e-05,0.1244,-0.01201,0.03461,0.12,0.006836,0.003288,0.003367,0.08888,0
16.34,11.9,18.6,12.1,-0.2635,0.9233,0.007707,0.4132,0.7574,0.108,0.001555,0.1248,0.007198,0.003182,0.1049,0.004964,-0.007082,-0.006102,0.06481,0
15.66,11.68,19.5,12.44,-0.7351,1.077,0.04686,0.1038,0.9534,0.1066,0.008111,0.07206,0.005148,0.005245,0.1243,-0.001554,0.001795,-0.004817,0.0597,0
15.09,11.44,19.36,12.74,-0.3299,0.578,0.02559,1.043,0.4712,0.1304,0.01041,0.0958,0.01244,0.01063,0.1154,0.005429,-0.002992,0.02931,0.08187,0
15.21,9.911,19.17,11.45,-0.679,1.193,0.02916,-0.01997,1.162,0.1041,-0.009332,0.1082,-0.001842,0.0249,0.1145,-0.002049,0.000731,-0.01839,0.0656,0
15.43,11.22,16.31,12.32,-0.3873,0.4723,0.04324,0.2211,0.6763,0.08354,-8.4e-05,0.06638,0.01083,-0.006285,0.1051,-0.009584,0.004499,0.001953,0.07767,0
14.06,11.23,19.49,13.6,0.1407,0.1815,0.02694,0.6442,-0.01341,0.1173,0.01036,0.0986,-0.01283,0.009752,0.1247,-0.027,0.002873,0.01494,0.06913,0
15.33,12.22,18.64,10.64,-0.05436,0.9561,0.06499,0.001874,0.0363,0.1286,-0.006387,0.08667,0.03152,-0.007754,0.1828,-0.00467,0.002658,0.000147,0.06247,0
14.88,11.99,18.35,13.42,-0.4725,0.1837,0.05761,0.009209,0.337,0.06951,-0.006659,0.1025,-0.004286,0.02096,0.1462,0.007648,-0.000828,0.01207,0.0704,0
14.68,12.03,16.51,11.61,-0.7094,1.088,0.04671,0.03863,0.7218,0.07694,0.01012,0.08381,0.000486,-0.01534,0.09628,-0.02054,0.001508,0.003359,0.08176,0
14.31,10.32,18.03,11.7,-0.2331,0.3744,-0.000359,0.8509,0.584,0.08008,0.02135,0.09257,0.005206,0.008198,0.1051,0.007312,0.008662,-0.001419,0.0752,0
14.48,8.396,17.98,12.12,-0.7805,2.679,0.06757,-0.06252,0.6635,0.1006,-0.02082,0.1374,0.007066,0.02641,0.1213,0.01046,-0.00852,0.01698,0.1012,0
14.11,11.43,14.4,12.13,-1.039,1.334,0.01808,-0.328,0.219,0.0879,-0.01101,0.09889,0.000915,0.002573,0.09514,-0.00227,-0.000695,-0.003436,0.07754,0
13.38,11.41,19.57,13.76,-0.2875,1.493,0.0144,0.1992,0.8205,0.09914,-0.003316,0.09716,-0.01735,0.01763,0.125,0.01106,-0.003631,-0.02188,0.08142,0
13.56,10.82,17.46,12.79,-0.1487,1.187,0.007535,0.1816,0.4384,0.1301,-0.008052,0.07684,0.003739,-0.004534,0.09212,0.01452,-0.008152,0.01301,0.0755,0
15.88,9.966,18.59,13.49,0.1277,1.464,0.0318,0.2222,1.25,0.124,0.003866,0.0989,0.023,0.01046,0.09989,0.004842,-0.01457,-0.01673,0.0712,0
14.07,7.577,19.21,15.54,0.04762,0.9695,0.08217,0.515,0.3934,0.0835,0.006078,0.1016,0.01301,-0.00904,0.1266,0.001694,0.008547,0.00959,0.07891,0
15.38,9.387,18.57,13.06,-0.07554,0.9894,0.06642,0.1402,0.6008,0.08793,-0.003635,0.1242,-0.000469,0.009674,0.09802,0.005327,0.006607,-0.009817,0.05997,0
15.97,10.39,18.69,14.98,-0.04826,0.6153,0.04086,0.2478,0.9904,0.06981,0.000937,0.07247,-0.01106,-0.006615,0.112,-0.01429,0.006571,0.002091,0.06675,0
14.4,9.526,20.7,12.2,-0.1268,0.9871,0.01328,-0.003829,1.107,0.05518,0.000749,0.08396,-0.00463,-0.01048,0.1122,-0.004245,-0.006313,-0.01236,0.07687,0
15.57,9.226,19.88,11.68,-0.007591,0.6394,0.05012,0.5974,0.729,0.08075,0.003288,0.1026,0.007847,0.01145,0.1136,-0.004559,0.008091,-0.000498,0.09403,0
14.18,11.63,21.46,12.77,0.3243,1.314,0.0184,-0.06041,0.4653,0.07238,-0.01032,0.1014,-0.006104,0.001068,0.09844,-0.005108,-0.000399,0.003219,0.07114,0
14.14,11.25,18.16,11.02,0.1114,0.04109,-0.00131,0.2134,0.2407,0.08495,0.01462,0.1761,0.01627,0.04892,0.1345,0.00216,-0.01261,-0.004732,0.05783,0
14.71,10.75,19.74,12.44,0.2053,1.007,0.04474,0.9082,0.7816,0.0946,0.01233,0.13,0.002639,0.00129,0.146,0.008054,-0.01741,-0.000391,0.07743,0
14.86,12.07,19.65,16,-0.4009,0.8856,0.01448,1.152,0.9279,0.1,-0.01257,0.1006,-0.006656,0.00651,0.08798,0.004029,0.000155,-0.00141,0.07213,0
14.14,7.886,19.62,13.3,-0.3871,1.188,0.05025,0.1309,0.8528,0.1095,0.005448,0.09532,0.01241,-0.01636,0.1136,-0.01419,-0.01735,-0.009707,0.09979,0
15.03,9.982,21.01,14.18,-0.4643,1.162,-0.01333,0.08978,0.5808,0.09157,0.01422,0.08898,-0.0238,-0.01309,0.09111,-0.01343,-0.000893,0.01356,0.08603,0
15.3,8.356,16.85,13.2,-0.5322,0.6287,0.02058,-0.259,0.4595,0.1028,0.005353,0.1009,0.008056,0.005418,0.1084,0.01884,-0.01036,0.01513,0.08671,0
13.17,7.792,17.66,11.39,-0.1175,0.2516,0.06089,0.3364,1.241,0.09249,0.003708,0.09726,0.0263,-0.002767,0.1452,0.02324,0.003058,-0.002202,0.06728,0
14.75,9.423,20.48,12.38,-0.4647,1.265,-0.01901,1.102,0.1674,0.07762,0.00396,0.0816,0.01671,0.005108,0.1044,-0.01264,-0.02192,-0.005433,0.0622,0
15.01,12.12,17.36,13.31,-0.9197,1.132,0.03244,0.826,0.6649,0.1077,-0.01135,0.1016,-0.01646,-0.002324,0.09874,-0.01798,0.01619,-0.001318,0.08248,0
15.12,11.61,18.46,12.67,-0.701,1.608,0.008652,0.5034,1.037,0.08864,-0.01772,0.1121,-0.004256,0.02314,0.1462,0.001949,0.02337,0.03422,0.1091,0
13.58,11.24,17.27,15.31,0.3161,0.8017,0.01898,0.1162,0.6171,0.1309,0.002394,0.0965,0.01022,0.00276,0.1212,-0.005413,-0.01952,0.01352,0.07529,0
14.09,9.301,19.04,13.02,-0.4791,1.16,0.05389,0.1936,1.173,0.08286,-0.01455,0.1265,-0.004554,-0.01165,0.1584,-0.01571,0.01972,0.005784,0.08121,0
14.57,11.66,16.07,13.43,-0.1431,0.2432,0.02792,-0.1177,0.5444,0.1016,-0.005888,0.1052,0.005701,-0.02276,0.1084,0.002049,-0.000147,0.00942,0.06888,0
13.65,10.01,18.78,12.85,-0.05796,0.6556,0.05271,-0.1833,1.269,0.05718,-0.004546,0.1247,0.009675,-0.04085,0.1398,-0.00121,0.000725,0.01181,0.05977,0
13,12.91,15.9,12.33,-0.3607,0.7755,0.02158,0.7636,0.8635,0.08763,0.005257,0.1012,0.01543,0.02993,0.1256,-0.01161,-0.02953,-0.01972,0.08753,0
16.63,11.72,17.27,12.26,-0.6787,1.232,0.01847,0.267,0.1399,0.1025,0.009629,0.1324,0.006417,0.01054,0.1434,0.003482,0.00855,0.006493,0.0789,0
13.56,11.3,19.68,12.24,0.2492,0.7942,0.05911,0.5703,0.9208,0.1245,-1e-06,0.1004,-0.01468,-0.000672,0.09712,-0.000762,-0.01403,0.01902,0.0812,0
15.55,10.09,16,11.71,-0.5639,0.9542,0.05241,0.4498,0.6706,0.08857,-0.01151,0.08533,0.01234,-0.01498,0.1022,-0.004641,0.007383,0.005169,0.06344,0
14.82,11.99,16.27,14.65,-0.1229,0.9831,0.03471,-0.5877,0.5,0.08698,0.008257,0.1031,-0.01648,-0.02142,0.113,0.02046,0.01015,-0.03051,0.08254,0
14.28,10.13,19.42,10.37,-0.3058,0.9323,0.04918,0.2237,0.236,0.09163,0.01459,0.1089,0.01496,0.009584,0.08408,-0.007752,0.01464,0.003693,0.07786,0
13.58,11.53,15.78,12.85,-0.7527,0.5394,-0.007113,-0.02975,0.8974,0.08234,-0.0117,0.1039,-0.01627,-0.01022,0.1245,-0.002374,0.009516,-0.01488,0.05518,0
15.29,12.09,19.57,11.62,-0.04194,1.89,0.051,0.1791,0.5002,0.121,-0.006163,0.09814,0.005756,-0.01146,0.1121,-0.01139,0.007081,0.01642,0.1194,0
13.52,10.54,20.76,14.14,-0.6034,1.065,-0.009523,0.3233,0.486,0.1316,0.01667,0.09297,0.000849,0.00752,0.1388,0.01464,0.01608,0.005594,0.05748,0
12.16,9.565,16.22,13.59,-1.215,1.605,0.00365,0.8368,0.4183,0.1264,0.007314,0.1073,0.01114,0.001137,0.09566,-0.02227,-0.009308,-0.005701,0.06347,0
15.19,11.71,18.4,11.88,-0.04512,0.7864,0.01099,-0.3444,0.8041,0.08554,0.004629,0.1627,-0.003679,0.001553,0.09775,0.002038,-0.005675,-0.0177,0.06978,0
14.99,9.565,18.2,11.8,-0.4697,0.7868,0.05319,0.003666,0.000233,0.09554,0.002513,0.1026,-0.003392,0.005749,0.08116,0.01619,0.001085,0.001134,0.07629,0
15.14,9.895,19.77,11.73,-0.5429,0.3537,0.04533,0.3857,0.8285,0.1216,-0.01042,0.08665,-0.002543,-0.009734,0.1038,-0.00625,0.003011,-0.00025,0.07865,0
16.67,11.58,21.81,12.49,-0.4145,1.416,0.0661,0.07053,1.007,0.09662,-0.01995,0.09439,-0.008414,-0.004928,0.08412,-0.001661,0.003717,0.004111,0.07424,0
14.13,11.44,19.16,12.37,-0.3529,0.3412,0.01708,0.01066,0.8264,0.1123,-0.003156,0.1217,-0.02323,-0.01989,0.111,0.02537,0.000517,-0.000469,0.08503,0
15.22,10.09,22.07,13.22,-0.7916,0.7152,0.05498,-0.1188,0.4735,0.09383,-0.01124,0.1108,-0.001769,0.005795,0.1024,-0.01174,0.0254,0.02126,0.08537,0
15.19,11.68,23.25,14.2,-0.3808,1.212,0.003845,0.003251,0.5964,0.09383,0.000748,0.08906,0.009886,0.00293,0.1039,0.000311,-0.002945,-0.003078,0.07502,0
15.91,9.385,18.13,12.79,0.1996,0.6551,0.04789,0.7969,0.9043,0.08419,-0.004876,0.09784,0.008473,0.01603,0.1164,0.007418,0.009572,0.02398,0.1016,0
13.95,12.22,17.27,14.37,0.3132,0.1806,0.03604,0.2239,0.1146,0.09868,-0.003063,0.09591,0.000973,0.004135,0.1107,-0.0126,-0.007355,0.007473,0.09001,0
12.95,10.92,19.01,14.76,-0.7608,1.226,0.06552,0.709,1.187,0.08018,-0.00138,0.09245,-0.006689,0.009502,0.08824,0.0151,0.01617,-0.001644,0.09378,0
13.96,11.23,21.81,13.27,-0.7746,1.558,0.02636,0.3904,0.4566,0.121,0.02229,0.09785,-0.03325,0.003716,0.115,-0.001954,-0.01047,0.006599,0.07705,0
14.68,10.98,20.67,12.05,-0.3254,2.183,0.02332,0.357,0.8622,0.06941,-0.000676,0.1217,0.00541,0.01717,0.1,0.01361,-0.01211,-0.01637,0.08463,0
14.53,11.46,16.55,13.66,0.06541,1.396,0.09581,0.2967,1.334,0.131,-0.002759,0.08369,-0.0184,0.01326,0.138,0.00463,0.001875,0.0183,0.06828,0
14.09,11.81,17.43,12.43,0.0624,1.129,0.06924,-0.01713,0.9127,0.09185,0.000414,0.1054,0.004382,-0.008208,0.08267,0.00333,0.007293,-0.002185,0.09222,0
15.57,10.32,18.76,12.12,-0.7718,0.5979,0.01642,0.6594,0.6886,0.1154,-0.01219,0.1259,-0.005651,0.02218,0.1242,-0.000934,0.00054,-0.003715,0.06467,0
14.69,11.77,17.68,13.67,-0.3784,0.6876,0.01937,0.04553,0.9019,0.1023,0.000206,0.09902,-0.007411,0.02037,0.1047,-0.001735,-0.02857,-0.01304,0.0926,0
14.04,11.68,16.72,12.89,-0.3479,1.847,0.07009,0.86,0.2156,0.05633,0.001378,0.1225,0.001198,-0.001939,0.1169,-0.000261,-0.02156,-0.01696,0.11,0
14.95,9.992,18.28,13.92,-1.156,0.6783,0.02283,-0.321,1.227,0.07724,0.0158,0.1171,-8.1e-05,-0.003937,0.1019,-0.01257,0.004623,0.009132,0.07877,0
15.46,11.03,17.2,10.59,-0.118,0.6653,0.01472,-0.1876,0.8016,0.08131,0.008798,0.1173,-0.003943,-0.01642,0.08072,-0.01002,0.004888,-0.003479,0.06707,0
14.26,10.16,17.04,12.65,-0.1561,1.016,0.007556,-0.000943,0.7562,0.1007,0.004383,0.1019,-0.01546,0.008046,0.1325,-0.01243,-0.01039,-0.005647,0.0749,0
15.39,12.51,18.56,10.65,-0.5319,-0.2533,0.04993,-0.1943,0.7893,0.1192,0.01297,0.08982,0.0103,0.004586,0.09048,0.00929,-0.006153,-0.009846,0.07909,0
14.91,10.89,17.87,14.04,-0.3934,1.258,0.03902,0.5647,0.3874,0.08457,-0.005945,0.0876,-0.008253,0.007613,0.09637,0.004738,-0.005801,0.01145,0.07364,0
15.57,9.658,19.12,13.82,-0.4003,2.19,0.03628,0.2097,0.8581,0.08925,0.01938,0.1174,-0.006803,-0.01022,0.09387,0.001824,-0.004628,0.005735,0.07458,0
15.8,10.05,18.02,15.06,-0.07596,1.409,-0.01396,0.5492,0.8954,0.1108,-0.01457,0.1,-0.004933,-0.003422,0.1028,0.01813,-0.0169,-0.00861,0.05873,0
14.12,11.08,21.46,11.78,-0.3281,1.277,0.01959,-0.02683,1.223,0.0968,-0.006464,0.08009,-0.002379,-0.004313,0.1472,0.006808,-0.009532,0.02464,0.06699,0
13.81,12.17,21.54,14,-0.6798,0.5592,0.03903,0.05676,0.5418,0.09548,0.02283,0.09408,0.003837,0.01724,0.1118,0.0197,0.00263,-0.02766,0.06893,0
15.75,8.686,20.88,14.72,-0.5066,0.1432,0.04587,0.3322,0.1579,0.08037,-0.0054,0.09373,0.000224,0.007885,0.1732,0.01532,-0.01005,-0.001627,0.08704,0
14.42,10.19,16.71,14.56,0.02067,1.657,0.05443,1.035,0.8641,0.09749,-0.01193,0.08315,-0.007214,0.01796,0.104,3.5e-05,0.009637,0.006854,0.07488,0
13.88,11.14,21.18,12.51,0.01313,0.3053,0.02553,0.6368,1.136,0.08756,-0.02128,0.09073,-0.009274,0.004294,0.1184,0.006388,0.000386,0.01004,0.09209,0
14.59,11.11,20.66,11.89,0.02148,-0.5316,0.02133,-0.3219,0.7654,0.102,0.03561,0.1152,-0.007475,0.002324,0.09666,0.007158,0.01012,0.00493,0.04468,0
14.62,9.364,17.6,9.893,-0.07537,0.4531,0.03032,0.6764,0.5446,0.09592,-0.009333,0.1011,0.01599,-0.02884,0.1251,-0.009214,0.02254,-0.01826,0.07816,0
16.52,11.93,18.85,11.85,-0.4944,0.6265,0.00689,0.1424,0.3012,0.09165,-0.00474,0.09709,-0.006787,0.007806,0.1002,0.001409,-0.01026,-0.000413,0.08186,0
13.36,12.26,16.49,11.2,-0.6929,0.6505,0.04397,-0.1142,0.4683,0.1004,0.01664,0.06859,-0.000299,0.01034,0.09244,-0.006175,0.01222,0.001707,0.07698,0
14.86,9.522,19.11,13.53,-0.1418,0.3775,0.05455,0.1998,0.5377,0.08807,0.002753,0.08718,0.000896,0.008559,0.09798,-0.00319,0.01322,0.005367,0.06363,0
14.82,8.885,20.92,11.61,-0.3375,1.143,0.0518,0.2437,0.2848,0.1097,-0.001574,0.1098,-0.001251,0.01264,0.08634,0.001312,0.001992,0.003371,0.07239,0
14.39,10.08,20.61,13.89,-0.4855,1.082,0.05634,-0.1446,0.6622,0.1115,-0.01052,0.08909,0.007978,-0.0036,0.09837,0.02779,0.000215,0.007007,0.09599,0
13.53,9.105,17.68,14.16,0.08414,1.037,0.04275,0.2888,0.9175,0.09109,-0.002228,0.09858,-0.003415,0.006549,0.1422,0.002551,-0.01375,0.01048,0.09405,0
13.84,11.45,18.66,12.57,-0.8319,1.291,0.03571,0.1167,0.1897,0.08426,-0.01446,0.1071,-0.01823,0.02171,0.1266,-0.00445,0.01748,0.004653,0.1025,0
13.13,10.09,21.33,12.72,-0.1295,2.479,0.04539,-0.3695,0.1612,0.1136,0.005176,0.1054,-0.01965,-0.01574,0.1383,0.000674,0.01075,0.01229,0.07308,0
15.65,12.3,20.17,10.8,-0.5258,0.6654,0.06329,0.5872,0.562,0.08687,0.004007,0.08965,-0.01513,-0.002617,0.08115,0.01595,-0.01266,-0.002015,0.0749,0
15.16,11.03,19.17,14.4,-0.6156,0.6659,0.002092,1.051,0.4244,0.08695,0.006215,0.07147,0.01401,0.008693,0.09436,0.002453,-0.00728,0.003304,0.07047,0
14.21,9.27,20.37,13.13,0.0215,0.5496,0.03822,0.2519,0.9367,0.09483,-0.007537,0.09344,0.00038,0.000779,0.09963,0.007406,0.01216,0.01098,0.08139,0
14.6,11.38,20.38,10.94,-0.842,0.5502,0.07362,0.5282,0.6757,0.1099,0.006577,0.1022,-0.004925,0.003603,0.12,0.01317,-0.01144,0.007128,0.0874,0
15.82,11.89,17.44,11.41,-0.5771,1.558,0.01316,1.061,0.7806,0.09736,0.00249,0.1286,-0.000756,0.000488,0.08005,-0.006038,0.01891,-0.006775,0.09248,0
14.11,10.35,19.11,11.9,0.1622,1.962,0.003511,0.53,0.7257,0.1083,0.01401,0.0683,-0.006069,0.003579,0.09134,0.007621,-0.004333,-0.004522,0.04591,0
13.2,10.37,19.22,10.92,-0.4505,1.347,0.05067,0.4356,0.7342,0.1,-0.01808,0.1018,-0.01285,0.01319,0.1313,-0.00543,0.000338,0.01203,0.05732,0
